股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元)
000858.SZ,2025-12-05,114.47,115.37,114.21,114.96,114.45,0.51,0.4456,117681.83,1351054.927
000858.SZ,2025-12-08,114.85,115.13,113.1,113.27,114.96,-1.69,-1.4701,276978.74,3157374.147
000858.SZ,2025-12-09,113.0,113.08,110.5,110.88,113.27,-2.39,-2.11,304310.37,3390789.037
000858.SZ,2025-12-10,110.5,111.75,109.51,111.62,110.88,0.74,0.6674,178695.87,1984146.058
000858.SZ,2025-12-11,112.0,112.73,111.78,111.9,111.62,0.28,0.2509,157884.22,1772255.902
000858.SZ,2025-12-12,112.3,113.7,111.6,111.6,111.9,-0.3,-0.2681,257022.1,2889348.467
000858.SZ,2025-12-15,112.3,113.26,112.05,112.45,111.6,0.85,0.7616,215686.29,2429077.63
000858.SZ,2025-12-16,112.0,113.09,111.66,113.0,112.45,0.55,0.4891,145067.67,1631458.612
000858.SZ,2025-12-17,113.0,113.75,112.1,113.4,113.0,0.4,0.354,153140.01,1732389.486
000858.SZ,2025-12-18,110.82,111.16,110.33,110.43,110.82,-0.39,-0.3519,124628.5,1379153.25
000858.SZ,2025-12-19,110.65,110.88,110.04,110.53,110.43,0.1,0.0906,138187.18,1526045.351
000858.SZ,2025-12-22,110.51,110.8,110.12,110.33,110.53,-0.2,-0.1809,108464.97,1197376.767
000858.SZ,2025-12-23,110.13,110.43,109.33,109.72,110.33,-0.61,-0.5529,113540.23,1248444.948
000858.SZ,2025-12-24,109.5,109.59,108.78,109.28,109.72,-0.44,-0.401,117904.69,1286401.444
000858.SZ,2025-12-25,109.28,110.7,109.2,110.6,109.28,1.32,1.2079,125708.09,1385101.983
000858.SZ,2025-12-26,110.1,110.49,109.44,109.78,110.6,-0.82,-0.7414,114758.89,1261539.56
000858.SZ,2025-12-29,109.44,109.6,108.0,108.06,109.78,-1.72,-1.5668,195452.51,2119598.416
000858.SZ,2025-12-30,107.9,107.99,107.02,107.36,108.06,-0.7,-0.6478,158470.27,1700875.914
000858.SZ,2025-12-31,107.19,107.25,105.61,105.94,107.36,-1.42,-1.3227,208676.82,2214652.658
000858.SZ,2026-01-05,105.9,108.19,105.7,107.9,105.94,1.96,1.8501,222668.64,2390973.424
000858.SZ,2026-01-06,107.92,108.43,106.92,108.17,107.9,0.27,0.2502,186232.39,2006335.25
000858.SZ,2026-01-07,108.18,108.34,107.4,107.52,108.17,-0.65,-0.6009,123091.89,1326159.416
000858.SZ,2026-01-08,107.38,107.38,106.66,106.9,107.52,-0.62,-0.5766,129121.33,1379204.589
000858.SZ,2026-01-09,107.05,108.55,106.88,107.14,106.9,0.24,0.2245,160749.62,1727812.911
000858.SZ,2026-01-12,107.15,108.85,107.13,108.55,107.14,1.41,1.316,233356.07,2526732.764
000858.SZ,2026-01-13,108.99,109.22,107.82,108.0,108.55,-0.55,-0.5067,197373.79,2140822.643
000858.SZ,2026-01-14,107.88,108.84,106.68,107.04,108.0,-0.96,-0.8889,225608.63,2430589.61
000858.SZ,2026-01-15,106.7,107.22,106.02,106.09,107.04,-0.95,-0.8875,162928.86,1733698.629
000858.SZ,2026-01-16,106.25,106.41,105.05,105.16,106.09,-0.93,-0.8766,198709.93,2096582.184
000858.SZ,2026-01-19,104.99,105.38,104.34,104.55,105.16,-0.61,-0.5801,182298.85,1908481.791
000858.SZ,2026-01-20,104.5,105.47,104.3,104.91,104.55,0.36,0.3443,172816.62,1813980.705
000858.SZ,2026-01-21,104.62,104.7,103.0,103.05,104.91,-1.86,-1.7729,262282.8,2711884.886
000858.SZ,2026-01-22,103.07,103.72,102.61,102.76,103.05,-0.29,-0.2814,186914.74,1926511.774
000858.SZ,2026-01-23,102.8,103.71,102.7,102.99,102.76,0.23,0.2238,214559.18,2214166.357
000858.SZ,2026-01-26,102.96,103.5,101.06,102.34,102.99,-0.65,-0.6311,312961.15,3203042.467
000858.SZ,2026-01-27,102.12,102.33,101.02,101.02,102.34,-1.32,-1.2898,225287.2,2283721.968
000858.SZ,2026-01-28,101.03,101.85,100.63,100.7,101.02,-0.32,-0.3168,266767.39,2696600.351
000858.SZ,2026-01-29,100.7,110.77,100.5,110.77,100.7,10.07,10.0,986603.93,10450873.886
000858.SZ,2026-01-30,110.77,110.78,105.0,105.0,110.77,-5.77,-5.209,668171.18,7156298.339
000858.SZ,2026-02-02,105.08,110.76,105.08,107.29,105.0,2.29,2.181,531977.04,5754087.577
000858.SZ,2026-02-03,107.08,108.78,106.6,107.28,107.29,-0.01,-0.0093,331643.23,3556634.123
000858.SZ,2026-02-04,106.5,109.41,106.28,108.52,107.28,1.24,1.1559,378916.82,4088740.226
000858.SZ,2026-02-05,107.9,110.55,107.66,108.89,108.52,0.37,0.341,372846.41,4071834.696
000858.SZ,2026-02-06,108.9,109.73,106.81,107.0,108.89,-1.89,-1.7357,276521.92,2975510.012
000858.SZ,2026-02-09,106.8,107.69,106.47,107.36,107.0,0.36,0.3364,208891.62,2237802.124
